French,English
partie,part
histoire,history
seulement,only
aide,help
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
devrait,should
bébé,baby
heures,hours
vont,will
revoir,meet again
aucune,any
parle,speak
attention,Warning
voici,here is
donner,give
type,type
leurs,their
corps,body
endroit,place
façon,way
perdu,lost
première,first
côté,side
pouvoir,power
sois,be
enfant,child
venu,came
suite,after
venez,come
demandé,request
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
boulot,job
dirait,would say
donne,given
croire,believe
plutôt,rather
